file,line,form,expression,resolved_old_path,expected_registry_key,expected_current_path,classification,currently_exists,io_role,executable_path,fix_required,pre_existing_missing,pre_existing_missing_reason,evidence
AGENTS.md,41,bare,- USD 모델: `data/pallet/assets/pallets/models/models_usd/` — `scene.usd`(P0) / `scene_1.usd`(P1) / `scene_noemit.usd`(P0 무발광) + v2 목재 2종 `.glb`. 구 P2/P3(`scene_2/3.usd`)는 NoAI라 `dat,data/pallet/assets,,,LEGACY_DOC,True,input,False,False,False,,구 문서
AGENTS.md,41,bare,- USD 모델: `data/pallet/assets/pallets/models/models_usd/` — `scene.usd`(P0) / `scene_1.usd`(P1) / `scene_noemit.usd`(P0 무발광) + v2 목재 2종 `.glb`. 구 P2/P3(`scene_2/3.usd`)는 NoAI라 `dat,data/pallet/archive,,,LEGACY_DOC,True,input,False,False,False,,구 문서
CLAUDE.md,41,bare,- USD 모델: `data/pallet/assets/pallets/models/models_usd/` — `scene.usd`(P0) / `scene_1.usd`(P1) / `scene_noemit.usd`(P0 무발광) + v2 목재 2종 `.glb`. 구 P2/P3(`scene_2/3.usd`)는 NoAI라 `dat,data/pallet/assets,,,LEGACY_DOC,True,input,False,False,False,,구 문서
CLAUDE.md,41,bare,- USD 모델: `data/pallet/assets/pallets/models/models_usd/` — `scene.usd`(P0) / `scene_1.usd`(P1) / `scene_noemit.usd`(P0 무발광) + v2 목재 2종 `.glb`. 구 P2/P3(`scene_2/3.usd`)는 NoAI라 `dat,data/pallet/archive,,,LEGACY_DOC,True,input,False,False,False,,구 문서
_docs/attribution_cc-by_appendix.md,11,bare,gap-fill로 추가(2026-07-24). 저장: `data/pallet/assets/distractors/library/{tier}/sf__<name>/`.,data/pallet/assets,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/attribution_cc-by_appendix.md,40,bare,"- **Distractor — Google Scanned Objects (128종, CC-BY 4.0)** — *2026-07-24 D 확장: 32 → 128 (+96)*. 저작자 = Google Research, via Gazebo Fuel(GoogleResearch). 확장분 96종 구성: box 39 · contai",data/pallet/assets,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/attribution_cc-by_appendix.md,42,bare,"- **배경 glTF (2종, CC-BY 4.0)**: `modular_buildings_industrial_area` (author BazukaliKartal), `parking_lot` (author Veterock) — 정확 URL은 `data/pallet/assets/scenes/backgrounds/backgro",data/pallet/assets,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,19,bare,"- **프로덕션 씬**: `data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable_stage2c2.blend` (342MB, NoAI 목재 제거 재-bake 완료, distractor 209 내장). **경로는 리터럴로 쓰지 말고 regis",data/pallet/assets,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,141,bare,"hdri  = pdp.get(""hdri_root"")             # data/pallet/assets/lighting/hdri/library",data/pallet/assets,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,150,bare,`data/pallet/manifests/*.csv` 는 조사 시점 snapshot 이지 runtime config 가 아니다.,data/pallet/manifests,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,178,bare,# (b) dry-run 감사 리포트 (a~f 차트 + report) -> data/pallet/v2_dryrun_audit/,data/pallet/v2_dryrun_audit,,,CURRENT_DOC,True,output,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,181,bare,# (c) B3 자산체크 (첫 실렌더 5프레임 + magenta 서브테스트) -> data/pallet/_v2_b3_check/,data/pallet/_v2_b3_check,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,185,bare,--out data/pallet/_v2_b3_check --seed 7000 --n 5,data/pallet/_v2_b3_check,,,CURRENT_DOC,True,output,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,187,bare,# (d) 200장 캘리브 (target vs actual 6종 분석) -> data/pallet/_v2_calib_200/,data/pallet/_v2_calib_200,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,192,bare,"# (e) 파일럿 2k (chunk launcher: 200장/fresh Blender, OOM 방지, resume) -> data/pallet/_v2_pilot_2k/",data/pallet/_v2_pilot_2k,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,198,bare,--dir data/pallet/_v2_pilot_2k --n_overlay 30,data/pallet/_v2_pilot_2k,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,202,bare,--dir data/pallet/_v2_pilot_2k --style archive,data/pallet/_v2_pilot_2k,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,205,bare,--dir data/pallet/_v2_pilot_2k --style frontrear-debug,data/pallet/_v2_pilot_2k,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,208,bare,--dir data/pallet/_v2_pilot_2k,data/pallet/_v2_pilot_2k,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,216,bare,### 3.1 v2 파일럿 출력 레이아웃 (`data/pallet/_v2_pilot_2k/`),data/pallet/_v2_pilot_2k,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,326,bare,### 3.3 legacy 레이아웃 참고 (`data/pallet/reference/golden_overlay/trunc_addon_v1_pilot/`),data/pallet/reference,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,349,bare,canonical 정본 reference: `data/pallet/reference/golden_overlay/trunc_addon_v1_pilot/`,data/pallet/reference,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/blender_mcp_onboarding.md,623,bare,B6  isaac_assets 제외   ★미해결 data/pallet/isaac_assets/(NVIDIA EULA) 배포 트리서 제외,data/pallet/isaac_assets,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/data_pallet_layout.md,5,bare,`data/pallet/README.md` 는 같은 내용의 로컬 사본이다.,data/pallet/README.md,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/data_pallet_layout.md,38,bare,local inventory snapshot  data/pallet/manifests/*.csv              <- 조사 시점 기록. runtime config 아님,data/pallet/manifests,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/data_pallet_layout.md,76,bare,`data/pallet/manifests/*.csv` 는 **local inventory snapshot** 이지 runtime config 가 아니다.,data/pallet/manifests,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/data_pallet_layout.md,95,bare,hdri_root                   data/pallet/assets/lighting/hdri/library                   Poly Haven CC0 30,data/pallet/assets,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/data_pallet_layout.md,96,bare,pallet_material_root        data/pallet/assets/materials/pallet/textures_wood,data/pallet/assets,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/data_pallet_layout.md,97,bare,floor_material_root         data/pallet/assets/materials/floor/textures_floor,data/pallet/assets,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/data_pallet_layout.md,98,bare,"pallet_model_roots          data/pallet/assets/pallets/models/models_usd,",data/pallet/assets,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/data_pallet_layout.md,99,bare,data/pallet/assets/pallets/source/pallets_v2_add/models,data/pallet/assets,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/data_pallet_layout.md,100,bare,pallet_measurements         data/pallet/assets/pallets/source/pallets_v2_add/measurements.json,data/pallet/assets,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/data_pallet_layout.md,101,bare,golden_overlay_reference    data/pallet/reference/golden_overlay/trunc_addon_v1_pilot,data/pallet/reference,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/data_pallet_layout.md,102,bare,"real_data_root              data/pallet/reference/real_images/real_data                실촬영 1,924",data/pallet/reference,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/data_pallet_layout.md,103,bare,runs_root                   data/pallet/runs,data/pallet/runs,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/data_pallet_layout.md,189,bare,`data/pallet/archive/` 아래(위 ★ 3건 제외).,data/pallet/archive,,,CURRENT_DOC,True,unknown,False,False,False,,현재 문서
_docs/data_pallet_layout.md,237,bare,data/pallet/manifests/assets.csv     현역 자산의 로컬 snapshot. registry 값을 조사 시점에 찍어둔 것.,data/pallet/manifests,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
_docs/data_pallet_layout.md,239,bare,data/pallet/manifests/runs.csv       run 목록(이동 146 + 원위치 유지 8),data/pallet/manifests,,,CURRENT_DOC,True,input,False,False,False,,현재 문서
